file,transcription,duration_sec
11.wav,চাকা পৃথিবীতে অভূতপূর্ব পরিবর্তন এনেছে চাকা সবচেয়ে যে কাজটি আমাদের জন্য করেছে তা হল আরও সহজ এবং দ্রুত পরিবহণের উপায় করে দেওয়া হয়,11.58
12.wav,1970 এর দশকে অনভিজ্ঞ ফোল্ডার বা সীমিত মোটর দক্ষতা রয়েছে এমন ব্যাক্তিদের সহায়তা করার জন্য এটি জন স্মিথ দ্বারা তৈরি করা হয়েছিল,15.48
13.wav,অস্ট্রেলিয়ার কুইন্সল্যান্ড প্রদেশের '1770' শহরের উত্তরে এপ্রিল থেকে অক্টোবরের মাঝামাঝি সময়ে বক্স জেলিফিশগুলি দেখা যায়। অবশ্য এই সময়কালের বাইরেও মাঝে মাঝে এই বক্স জেলিফিশগুলি চোখে পড়ে।,24.18
14.wav,অশ্বরোহীর পা-দান তার পায়ের সাপোর্টের জন্য যা অশ্বরোহীর জিনের উভয় পাশে বিদ্যমান,10.98
15.wav,অস্ট্রেলিয়াতে যেসব বুমেরাং পাওয়া যায় তার অধিকাংশই ফিরে আসেনা যারা সবে হাত পাকাতে শুরু করেছেন তাদের বেশি হাওয়ার মধ্যে এগুলি ছোঁড়ার চেষ্টা না করাই ভালো,12.36
16.wav,2008 সিঙ্গাপুর গ্রাঁ প্রি-তে ফার্নান্ডো আলোন্সো পিট স্টপ নেওয়ার একটু পরেই পিকেট জুনিয়র ক্র্যাশ করেন এবং তার জন্য সেফটি কার আনতে হয়,13.32
17.wav,ওনেগা হ্রদ ভলগা-র সাথেও যুক্ত তাই রাশিয়ার মধ্যে দিয়ে ক্যাসপিয়ান সাগর থেকে আসা এখনও সম্ভব,9.9
18.wav,এই অঞ্চলটি প্রচুর পরিমাণে বিভিন্ন প্রজাতির প্রাণী ও পাখিদের আবাসস্থলও বটে,8.4
19.wav,তিনি তাঁর আধিকারিকদের 500 ফুট দূরে দাঁড়ানো ওল্ডসমোবাইল ইনট্রিগের দিকে নির্দেশ করলেন,9.36
20.wav,অস্ট্রেলিয়ার কুইন্সল্যান্ড প্রদেশের '1770' শহরের উত্তরে এপ্রিল থেকে অক্টোবরের মাঝামাঝি সময়ে বক্স জেলিফিশগুলি দেখা যায়। অবশ্য এই সময়কালের বাইরেও মাঝে মাঝে এই বক্স জেলিফিশগুলি চোখে পড়ে।,16.32
21.wav,আলাপালোচনকারীরা পরিস্থিতি সংশোধনের চেষ্টা করছেন কিন্তু বন্দীদের দাবিগুলো পরিষ্কার নয়,7.56
22.wav,ইউনাইটেড স্টেটস জিওলজিকাল সার্ভে usgs এবং এর জাতীয় ভূমিকম্প তথ্য কেন্দ্রের দ্বারা ক্ষয়ক্ষতির কোনও প্রত্যক্ষ খবর পাওয়া যায়নি।,13.02
23.wav,আল গোর এবং জেনারেল টমি ফ্র্যাঙ্কস তাদের পছন্দের শিরোনাম নিয়ে আকস্মিকভাবেই দ্রুত বকবক করে বলেন গোরের ক্ষেত্রে যখন দ্যা ওনিয়ন প্রতিবেদন করে যে সে এবং টিপার তাদের জীবনের সেরা যৌনসহবাস করেছিল ২০০০ সালে কলেজ নির্বাচনী হারার পর ।,20.82
24.wav,"""গুহার সমস্ত প্রবেশপথগুলি যা ""দ্য সেভেন সিস্টার্স"" নামে পরিচিত তাদের সবকটির ব্যস কমপক্ষে 100 থেকে 250 মিটার 328 থেকে 820 ফুট।",16.32
25.wav,সেনা পিপিলিকা উপনিবেশগুলি মিছিল করে এগিয়ে যায় এবং বিভিন্ন ধাপে বাসাও বাঁধে,9.3
26.wav,"""অন্য একটা প্রতিলিপি তোমার মালপত্রের মধ্যে এবং অনলাইন রাখো অ্যাটাচমেন্ট এর সঙ্গে ইমেইল তোমার সাথে,অথবা ""ক্লাউড"" এ স্টোর করে রাখো ।",8.46
27.wav,বিচারের সামগ্রিক দায়িত্বে থাকা ক্রাউন অফিসের তরফে সাংবাদিকদের বোঝানো হয়েছে যে অন্তত মামলা শেষ না হওয়া পর্যন্ত এ ব্যাপারে তারা মন্তব্য করবেন না,11.88
28.wav,1956 সালে স্লানিয়া সুইডেনে চলে যান যেখানে তিন বছর পরে তিনি সুইডিশ পোস্ট অফিসের জন্য কাজ শুরু করেন এবং তাদের প্রধান খোদাইকার হন,14.4
29.wav,আগে আসলে আগে পাবেন ভিত্তিতে কিছু অনুমতিপত্র দেয়া হয় যেগুলো সরাসরি আগমনের অনুরোধের জন্য বরাদ্দ থাকে,12.42
30.wav,বাবাকে অনুসরণ করে লিগিনস চিকিৎসার পেশায় এসেছিল,6.78
31.wav,ঠিক সকাল ৮ঃ৪৬এর সময় একটা নিস্তব্ধতা শহর জুড়ে ছড়িয়ে পড়ে যখন প্রথম জেটটি লক্ষ্যবস্তুকে আঘাতের সময় চিহ্নিত করা হয়।,10.32
32.wav,"""অপরাধ এবং সাধারণভাবে বিদেশীদের প্রতি খারাপ ব্যবহারের বিষয়টি কার্যত গ্রিনল্যান্ডে অপরিচিত। এমনকি শহরেও কোনও ""খারাপ স্থান"" নেই।",11.58
33.wav,যদিও প্রতিটি দেশই স্ক্যান্ডিনেভীয়' ছিল কিন্তু মানুষ রাজা প্রথা এবং ইতিহাস বিষয়ে ডেনমার্ক সুইডেন নরওয়ে এবং আইস ল্যান্ডের মধ্যে অনেক পার্থক্য ছিল,12.6
34.wav,1993 সালে শোটি ছেড়ে দেওয়ার পরেও তিনি নির্বাহী প্রযোজকের পদ ধরে রেখেছিলেন এবং রয়্যালটিস্বরূপ প্রতি বছর কয়েক মিলিয়ন ডলার পেয়েছিলেন,14.46
35.wav,তোমার দৈনিক নিয়ম-মাফিক জীবনে ফিরে এলে তুমি হয়তো প্রাতরাশের জন্য কোনো সাদামাটা পানীয় বানাবার প্রক্রিয়া খুঁজে পাবে,9.96
36.wav,মিঃ রেড ব্রিজের উপরে নিউজিল্যান্ডের a1gp ব্ল্যাক বিউটি গাড়িটি 160 কিলোমিটার / ঘন্টা গতিতে সাতবার চালান,12.96
37.wav,শিম্পাঞ্জির হাত ও পায়ের আকার এবং দৈর্ঘ্য সমান গিঁট হাঁটার সময় ওজন বহন করার জন্য হাতের ব্যবহার প্রতিফলিত করে,8.46
38.wav,রাজা হিসাবে আলেকজান্ডার মন্দিরের পুনর্নির্মাণের জন্য অর্থ প্রদানের প্রস্তাব করেছিলেন কিন্তু তার প্রস্তাব প্রত্যাখ্যান করা হয়েছিল পরবর্তীকালে আলেকজান্ডারের মৃত্যুর পর 323 খ্রিস্টপূর্বাব্দে মন্দিরটির পুনর্নির্মাণ করা হয়েছিল,15.96
39.wav,হুহনে ও প্রাইস কে 16'ই ফেব্রুয়ারি ওয়েস্টমিনস্টার ম্যাজিস্ট্রেট আদালতে হাজির হওয়ার কথা বলা হয়েছে।,8.52
40.wav,জাতীয় হ্যারিকেন কেন্দ্রের বিজ্ঞানীরা ভবিষ্যদ্বাণী করছেন যে বুধবারের মধ্যে ড্যানিয়েল শক্তিশালী হ্যারিকেনে পরিণত হবে,10.14
41.wav,কী অভিযোগ দায়ের করা হবে বা কী কারণে কর্তৃপক্ষ ছেলেটিকে গ্রেফতার করেছে তা এখনও জানা যায়নি তবে ফেডারেল আদালতে কিশোর বিচার প্রক্রিয়া শুরু হয়েছে,16.2
42.wav,দ্বিতীয় বিশ্বযুদ্ধের প্রধান শত্রু জার্মানি সোভিয়েত ইউনিয়ন এবং আমেরিকার মধ্যে সহযোগিতার মুখ্য ভূমিকা পালন করছিল যুদ্ধ শেষের সাথে সিস্টেম প্রক্রিয়া এবং সংস্কৃতি নিয়ে অন্তর্কলহের ফলে দেশগুলির মধ্যে বচসা বাধে,20.82
43.wav,একটি বাইনারি সংখ্যায় শুধুমাত্র 0 বা 1 এই দুটি মানের মধ্যে একটি থাকতে পারে এবং কম্পিউটারের ভাষা হিসাবে ব্যবহার করতে এই সংখ্যাগুলিকে বাইনারি ডিজিট বা বিট হিসাবে উল্লেখ করা হয়,14.76
44.wav,কয়েক শতক ধরে রোমান সাম্রাজ্য চিকিৎসার ক্ষেত্রে দুর্দান্ত লাভের দিকে চালিত হয়েছিল এবং আমরা আজ যে বিদ্যা জানি তার প্রবর্তক,16.2
45.wav,"""ওয়েবসাইটগুলিতে দর্শকের প্রতিক্রিয়া খতিয়ে দেখার সময় ""ব্যক্তিগত সম্পৃক্ততা"" এবং ""অব্যাহত সম্পর্ক ""গুলিকে আইমেয় এবং ম্যাককর্ড 1998 নতুন অনুপ্রেরণার দিক হিসাবেও চিহ্নিত করেছিলেন।",19.56
46.wav,ভ্রমণ বিষয়ক লেখালেখির ব্যবসা শুরু করার সবচেয়ে সহজ উপায় হল একটি প্রতিষ্ঠিত ভ্রমণ ব্লগ ওয়েবসাইটে আপনার দক্ষতা বাড়ানো,9.42
47.wav,ঘাতক-কীট এবং ছারপোকা উভয়ই পরিলক্ষিত তাদের আশ্রয়দাতার বাসা বা আবাসনে থাকার জন্য অভিযোজিত হয়,11.88
48.wav,টেলিভিশন রিমোটকে একত্র করে কন্ট্রোলারটি ব্যবহারকারীর টেলিভিশনের নিকটে রাখা 2 টি সেন্সর ব্যবহার করে 3-মাত্রিক স্থানে তা ত্রিভুজের মত করে রাখতে হয়,13.26
49.wav,পৃথিবীতে ব্রাজিল হল সবথেকে বড় রোমান ক্যাথলিক দেশ এবং রোমান ক্যাথলিক গির্জা ক্রমাগত সেই দেশে সমকামী বিবাহের বিরোধিতা করে গেছে,16.92
50.wav,হুইসলার ভ্যানকুভার থেকে 1.5 ঘন্টা ড্রাইভের পথ ব্যয়বহুল তবে  2010 এর শীতকালীন অলিম্পিকের কারণে সুপরিচিত।,16.56
